Interactions;Followers;Following;Total likes;Username;Display name;bio;authorMeta/verified;jumlah video;jumlah orang yang menyimpan;jumlah komentar;Waktu mengupload;Jumlah like;efek yang digunakan;hashtag 0;deskripsi hashtag 0;hashtag 1;hashtag 2;hashtag 3;hashtag 4;hashtag 5;hashtag 6;hashtag 7;hashtags/8/name;hashtags/9/name;hashtags/10/name;hashtags/11/name;hashtags/12/name;hashtags/13/name;hashtags/14/name;hashtags/15/name;hashtags/16/name;hashtags/17/name;hashtags/18/name;Apakah menggunakan ad?;mentions/0;mentions/1;Artis musik;music;musicMeta/musicOriginal;views;share;caption;durasi video;videoMeta/height;webVideoUrl
31000;90300;1335;759100;wearingbena;wearingbena;SHOPEE: WEARINGBENA;FALSE;1689;20;5;15/12/2023 16.26;37;;cardiganrajut;;cardiganoutfit;cardiganmurah;;;;;;;;;;;;;;;;;FALSE;;;Phoebe;original sound;TRUE;4589;29;check out sekarang mumpung lagi diskon 8%😍 #cardiganrajut #cardiganoutfit #cardiganmurah ;13;1024;https://www.tiktok.com/@wearingbena/video/7312750493430746373
399;58500;12;595100;miscathelabel_;miscathelabel;"🛒 Shopee: miscathelabel 
IG: miscathelabel_
📔 : miscadiary_
📍Bandung, Idn";FALSE;510;526;0;15/06/2023 15.12;1262;;racunintiktok;;cardiganoutfit;cardiganmurah;cardiganpolos;cardigancrop;tanktopcrop;tanktopbasic;ootdindo;;;;;;;;;;;;FALSE;;;♡;Some;TRUE;134700;155;Yuhuuu para cewe bumi mari merapat, pake cardigan warna Brown kaya gini clean banget ya looksnya 😍 #racunintiktok #cardiganoutfit #cardiganmurah #cardiganpolos #cardigancrop #tanktopcrop #tanktopbasic #ootdindo ;8;1024;https://www.tiktok.com/@miscathelabel_/video/7244822811292830981
944;2537;0;14200;sistalifestyle;Sista Lifestyle;"Gudangnya Outfit Wanita Populer🛒
Trik rahasia FYP ku klik👇";FALSE;601;209;4;02/07/2023 19.58;774;;cardigan;;cardiganrajut;cardiganrajutmurah;racuntiktok;;;;;;;;;;;;;;;;FALSE;;;Muspace Lofi;Blue Moon;FALSE;96200;163;Cardigan Wanita Rajut Oversize Bahan Tebal Cocok di dua cuaca panas & dingin #cardigan #cardiganrajut #cardiganrajutmurah #racuntiktok ;13;1024;https://www.tiktok.com/@sistalifestyle/video/7251204901995367686
9177;154900;95;743800;newshoppeland;Newshoppeland;"📍Bdg
Live Setiap Hari 9 Pagi - 9 Malam WIB
Premium Knitwear Self Manufacture
⬇️";FALSE;1629;22;1;02/10/2023 19.03;52;;fyp;;cardiganrajut;ttshoplocal;cardiganmurah;koreanstylefashion;;;;;;;;;;;;;;;FALSE;;;Sweet After Tears;Au Revoir;FALSE;4105;8;Siapa nii yg suka sama si yukari?🖤🤍 #fyp #cardiganrajut #TTshoplocal #cardiganmurah #koreanstylefashion ;6;1024;https://www.tiktok.com/@newshoppeland/video/7285330455375678725
399;58500;12;595100;miscathelabel_;miscathelabel;"🛒 Shopee: miscathelabel 
IG: miscathelabel_
📔 : miscadiary_
📍Bandung, Idn";FALSE;510;7230;113;05/02/2024 13.08;30000;;ootdinspo;;racunintiktok;cardiganpolos;cardigancrop;cardigankorea;cardiganmurah;;;;;;;;;;;;;;TRUE;;;PONCHET;พี่ชอบหนูที่สุดเลย (I Like You The Most) Feat.VARINZ - Speed Up Version;FALSE;622100;328;Ga kerasa ya sebentar lagi Valday 😙😌 mau di tryon yg mana bestie? #ootdinspo #racunintiktok #cardiganpolos #cardigancrop #cardigankorea #cardiganmurah ;8;1024;https://www.tiktok.com/@miscathelabel_/video/7331995854888275206
5409;85;39;9452;_rekomendasioutfit0;beelinshop;"Happy shopping 
Bantu 1k folls guys✨🌻";FALSE;85;1622;31;27/03/2024 19.00;8105;;atasanwanita;;cardiganrajut;in;inner;rekomendasi;ootd;fyp;;;;;;;;;;;;;FALSE;;;Alessa;Dag Dig Dug;FALSE;188700;148;Paket bundling termurah😍 cardigan+inner cuma 80 ribuan #atasanwanita #cardiganrajut #in #inner #rekomendasi #ootd #fyp ;15;1024;https://www.tiktok.com/@_rekomendasioutfit0/video/7351011788147805446
12500;1200;31;16700;ciipa.ciipa;ciipacip;"MashaAllah Tabarakallah ✨
ig : @ciipa.ciipa
belanja boleh cek link disini 👇🏻";FALSE;688;397;5;10/12/2023 13.10;770;;fyp;;viral;fypシ;viralvideo;racunshopee;racunmurah;koreanstyle;ootdhijab;outfitinspiration;outfitinspo🔥;outfitideas;ootd;fypage;fypシ゚viral;outfitinspo;;;;;FALSE;;;tayloraudios🎧;dress taylor swift;TRUE;68800;56;carigan murah nih 😍 #fyp #viral #fypシ #viralvideo #racunshopee #racunmurah #koreanstyle #ootdhijab #outfitinspiration #outfitinspo🔥 #outfitideas #ootd #fypage #fypシ゚viral #outfitinspo ;12;1024;https://www.tiktok.com/@ciipa.ciipa/video/7310844526405373190
8;97;0;920;kneed.co;KNEED.ID;"Your daily knit wear 🧶✨

Order klik link dibawah👇🏻";FALSE;17;20;0;04/11/2023 11.47;54;;cardiganrajut;;cardiganrajut;knit;rajutmurah;kardiganrajut;kardigan;;;;;;;;;;;;;;FALSE;;;KNEED.ID;original sound - Knèed Official;TRUE;25400;4;CARDIGAN KEKINIAN! KANCINGNYA BENTUK LOVE 🫣 super cuteeeeee 🥰🥰 Check out now or cry later 😛 #cardiganrajut #cardiganrajut #knit #rajutmurah #kardiganrajut #kardigan ;20;1022;https://www.tiktok.com/@kneed.co/video/7297463914290334981
130;34300;66;93600;nimue.outfit;Kabita.Outfit;"LIVE SENIN - SABTU💗
 JAM 08.00 - 21.00";FALSE;310;2395;79;05/05/2023 14.39;9858;Ombre Lips;cardiganrajut;;cardiganmurah;fyp;fypシ;cardigan;cardiganrajutmurah;;;;;;;;;;;;;;FALSE;;;00.13.h;original sound;TRUE;504100;732;Sean cardigannya nih kaka☺️ mau dapet harga murahnya? Join live kita yaa🥰 #cardiganrajut #cardiganmurah #fyp #fypシ #cardigan #cardiganrajutmurah ;10;1024;https://www.tiktok.com/@nimue.outfit/video/7229599656395705606
2482;1635;1639;8071;qfayiee;jennyferreyes🌷;"New affiliate  here👋
 unboxing| random recommendation";FALSE;122;1239;14;09/02/2024 13.49;4239;;cardigan;;cardiganoutfit;blazer;cardigancroptop;fyp;fyppppppppppppppppppppppp;;;;;;;;;;;;;;FALSE;;;фрози & joyful;bounce (i just wanna dance);FALSE;174700;75;My favorite cardigan🥹🫶#cardigan #cardiganoutfit #blazer #cardigancroptop #fyp #fyppppppppppppppppppppppp ;21;1024;https://www.tiktok.com/@qfayiee/video/7333490674223942918
873;208500;2;863900;msmo.id;MSMO.ID;MSMO Official TikTok;FALSE;1700;442;14;06/07/2023 13.43;2301;;;;cardiganmurah;cardiganoutfit;outfitnyaman;fypシ;;;;;;;;;;;;;;;TRUE;@anneblythe;;all;Aku cinta dia;TRUE;338800;98;Replying to @anneblythe  cardigannya dulu ya kaka🥰 #cardiganmurah #cardiganoutfit #outfitnyaman #fypシ ;16;1024;https://www.tiktok.com/@msmo.id/video/7252592613797137669
2;48500;0;459800;elycloth;ELYCLOTH;"PREMIUM KNITWEAR SPECIALIST❗️
CHECK OUT 🛒 -> LINK IN ⬇️";FALSE;411;462;5;20/02/2023 18.38;1885;;fashionnewarrivals;"Lagi cari Outfit terbaru? Cocok! 

Temukan koleksi terbaru dari brand favoritmu dan dapatkan diskon menariknya hanya di #FashionNewArrivals! Yuk, upload video dengan tagar #FashionNewArrivals dan cari Produk Terbaru yang cocok untukmu!";elycloth;cardigan;cardiganrajut;knitwear;ootd;cardiganoutfit;fyp;foryoupage;cardiganmurah;import;;;;;;;;;FALSE;;;Speedy_SNGXS;original sound;TRUE;78900;255;Pink Collections 🎀💝 #FashionNewArrivals #elycloth #cardigan #cardiganrajut #knitwear #OOTD #cardiganoutfit #fyp #foryoupage #cardiganmurah #import ;7;1024;https://www.tiktok.com/@elycloth/video/7202201125104209178
2;48500;0;459800;elycloth;ELYCLOTH;"PREMIUM KNITWEAR SPECIALIST❗️
CHECK OUT 🛒 -> LINK IN ⬇️";FALSE;411;502;3;11/03/2023 10.40;1877;;tiktokshopootd;"Cek promo 3.3 Fashion #TikTokShopOOTD di https://bit.ly/33Fashion

Temukan inspirasi OOTD favoritmu dari seller-seller rekomendasi TikTok Shop.

Post OOTD kesayangan kamu menggunakan hashtag #TikTokShopOOTD dan lihat produk fashion trendi, yuk belanja sekarang!";elycloth;cardigan;cardiganrajut;knitwear;ootd;cardiganoutfit;fyp;foryoupage;cardiganmurah;;;;;;;;;;FALSE;;;DYREN;suara asli - DYREN;TRUE;90800;281;Knitwear Oversize Import ⭐️💫 #TikTokShopOOTD #elycloth #cardigan #cardiganrajut #knitwear #OOTD #cardiganoutfit #fyp #foryoupage #cardiganmurah ;13;1024;https://www.tiktok.com/@elycloth/video/7209128322222116123
9177;154900;95;743800;newshoppeland;Newshoppeland;"📍Bdg
Live Setiap Hari 9 Pagi - 9 Malam WIB
Premium Knitwear Self Manufacture
⬇️";FALSE;1629;237;11;24/02/2023 12.24;2928;;fyp;;ttshoplocal;racuntiktok;cardiganpremium;rajutpremiuman;sweater;ootd;knitpremium;cardigan;murah;;;;;;;;;;TRUE;;;GeryGany;suara asli - GeryGany;TRUE;349900;80;Absen yuk! Yang udah punya produk Bestseller bulan ini siapa aja nih Bestiee✨🥰🥹 #fyp #TTShopLocal #racuntiktok #cardiganpremium #rajutpremiuman #sweater ##ootd #knitpremium #cardigan  #murah ;11;1024;https://www.tiktok.com/@newshoppeland/video/7203589083220872474
399;58500;12;595100;miscathelabel_;miscathelabel;"🛒 Shopee: miscathelabel 
IG: miscathelabel_
📔 : miscadiary_
📍Bandung, Idn";FALSE;510;4218;74;21/12/2022 15.49;12600;;tiktokfashion;We're celebrating all things fashion, so whether you're a DIY-er, hit the second-hand shops or wait in line for limited releases, here's to #TikTokFashion.;cardiganknit;cardiganmurah;ootdindo;ootdhijab;racunintiktok;;;;;;;;;;;;;;TRUE;;;Ryan Castro;Mujeriego;FALSE;483900;376;BARU ! Warna Maroon 🥹❤️ #tiktokfashion #cardiganknit #cardiganmurah #ootdindo #ootdhijab #racunintiktok ;10;1024;https://www.tiktok.com/@miscathelabel_/video/7179521408664456474
9177;154900;95;743800;newshoppeland;Newshoppeland;"📍Bdg
Live Setiap Hari 9 Pagi - 9 Malam WIB
Premium Knitwear Self Manufacture
⬇️";FALSE;1629;97;3;30/12/2022 17.31;941;cute lashes;;;ttshoplocal;rajutpremium;ootd;rajutmurah;tiktokshoppasbuatsemua;cardigan;cardiganmurah;;;;;;;;;;;;FALSE;@Edmonia💐;;DED🎶;Armada dimabuk cinta;TRUE;83700;20;Replying to @Edmonia💐 perhitaman done✅🖤#ttshoplocal #rajutpremium #ootd #rajutmurah #tiktokshoppasbuatsemua #cardigan #cardiganmurah ;29;1024;https://www.tiktok.com/@newshoppeland/video/7182887210297937179
399;58500;12;595100;miscathelabel_;miscathelabel;"🛒 Shopee: miscathelabel 
IG: miscathelabel_
📔 : miscadiary_
📍Bandung, Idn";FALSE;510;249;9;31/01/2023 19.23;785;;fashionfansfestival;"FOLLOW = DISKON EKSTRA

Follow penjual favoritmu dan dapatkan diskon menariknya! 

Nikmati ribuan voucher dan subsidi produk spesial di penjual favorit kalian di Tiktok Shop - Fashion Fans Festival!

Yuk, segera upload video dengan hashtag #FashionFansFestival !";racunintiktok;tiktokfashion;tiktokhaul;cardiganmurah;cardiganoutfit;;;;;;;;;;;;;;FALSE;;;Mixue CBD Cengkareng;suara asli - Mixue CBD Cengkareng;TRUE;59100;48;Birunya lucuk poll 💙💙💙 #fashionfansfestival #racunintiktok #tiktokfashion #tiktokhaul #cardiganmurah #cardiganoutfit ;8;1024;https://www.tiktok.com/@miscathelabel_/video/7194790836482116891
11300;189900;6;7100000;annasyamarinasari;annasya Marinasari;"12 Mei 1994
jangan lupa untuk follow ya 👍
Bismillah 🙏";FALSE;1498;249;11;23/06/2023 17.03;571;;cardigan;;cardiganrajut;cardiganmurah;cardiganoversize;jaket;jaketmurah;jaketwanita;jaketkekinian;outfit;ootd;atasanwanita;outer;oversize;premium;koreanstyle;;;;;FALSE;;;MVC Project;Dynasty To;FALSE;143600;132;Cardigan Rajut Square Casual Korean Style. #cardigan #cardiganrajut #cardiganmurah #cardiganoversize #jaket #jaketmurah #jaketwanita #jaketkekinian #outfit #ootd #atasanwanita #outer #oversize #premium #koreanstyle ;17;1024;https://www.tiktok.com/@annasyamarinasari/video/7247820059358285061
822;11400;5757;16000;goodlookingstores;GOODLOOKINGSTORE;"Live Baju Wanita dan Baju Anak
🔥Live Setiap Hari🔥
     jam 06-18 WIB";FALSE;242;12;2;21/05/2024 08.09;443;;cardi;;liveblouse;;;;;;;;;;;;;;;;;;FALSE;;;Ashley Mehta;When I Ride;FALSE;4623;11;Cuma bisa dibeli dilive aku ya beb, murce pokoknya 🔥🔥#cardi #liveblouse ;12;1024;https://www.tiktok.com/@goodlookingstores/video/7371253807637990661
7785;1500000;25;41300000;bobrownn;Bo Brown;"Fashion & beauty inspo 🎀
💌 Info@bo-brown.nl
👇🏽 More content?";FALSE;1888;11100;15;16/01/2024 00.06;19300;;fashionhacks;;stylinghack;cardiganhack;cardigan;;;;;;;;;;;;;;;;FALSE;;;ALTÉGO;MURDER ON THE DANCEFLOOR X LADY;TRUE;1300000;843;CROP YOUR CARDIGAN PERFECTLY 🤯 What do you think? SAVE FOR LATER 🎀 & hit the + for daily #fashionhacks #stylinghack #cardiganhack #cardigan ;13;1024;https://www.tiktok.com/@bobrownn/video/7324372668617198881
9177;154900;95;743800;newshoppeland;Newshoppeland;"📍Bdg
Live Setiap Hari 9 Pagi - 9 Malam WIB
Premium Knitwear Self Manufacture
⬇️";FALSE;1629;379;17;14/02/2023 11.33;5587;;fyp;;ttshoplocal;sweaterrajutpremium;rajutpremium;cardiganmurah;rajutmurah;;;;;;;;;;;;;;TRUE;;;zlata;kamisama kiss;TRUE;641400;182;Yang masih sekolah yakin ga keracun?🥰✨😝 #fyp #TTShopLocal #sweaterrajutpremium #rajutpremium #cardiganmurah #rajutmurah ;9;1024;https://www.tiktok.com/@newshoppeland/video/7199864897029606683
1508;409;186;24300;_itsmeshen;rara 🧸;"Affiliate Account
🎀 BEAUTY | FASHION 🎀

contact 💌 :larah.shaine@yahoo.com";FALSE;58;79;5;25/03/2024 18.03;328;;fyp;;cardigan;knittedcardigan;blackcardigan;whitecardigan;koreancardigan;coverup;ootd;outfitcheck;foryou;foryoupage;outfitoftheday;fashiontiktok;;;;;;;FALSE;;;SONIDOS LARGOS;sonido original;TRUE;19900;14;++ super comfy and affordable🤍🖤🥹 #fyp #cardigan #knittedcardigan #blackcardigan #whitecardigan #koreancardigan #coverup #ootd #outfitcheck #foryou #foryoupage #outfitoftheday #fashiontiktok ;38;1024;https://www.tiktok.com/@_itsmeshen/video/7350255103170858246
41800;2949;103;935800;cioe.olshop;racuncio;beauty💄~ fashion🛍️~ furniture 🛒;FALSE;513;1580;20;18/12/2023 08.29;13600;;cardiganmurah;;fyp;4u;;;;;;;;;;;;;;;;;FALSE;;;DYREN;suara asli - DYREN;TRUE;366200;58;#cardiganmurah #fyp #4u ;10;1024;https://www.tiktok.com/@cioe.olshop/video/7313740690905746693
13600;398100;228;11800000;dwrstaa_;Racunnyauwiw;"Bb: 45
Tb: 156";FALSE;871;6263;79;19/02/2023 10.38;32300;Peach;stylishgakharusmahal;;;;;;;;;;;;;;;;;;;;FALSE;;;RizkiDuarr🌠;suara asli - RizkiDuarrr🌠;TRUE;717000;790;Cardigan crop cuma 20an ajeu #stylishgakharusmahal ;10;1024;https://www.tiktok.com/@dwrstaa_/video/7201706242522287386
11000;9274;3746;241600;racunurminds;NAJWA | OUTFIT INSPO ♡;"✨ 𝒴𝑜𝓊 𝒹𝑒𝓈𝑒𝓇𝓋𝑒 𝓉𝑜 𝓈𝒽𝒾𝓃𝑒 ✨
• ꜱʏᴜʀɢᴀ ᴏᴜᴛꜰɪᴛ ᴄᴀɴᴛɪᴋ ᴅᴀɴ ᴍᴜʀᴀʜ •";FALSE;210;187;26;05/09/2023 15.27;446;;cardigan;;cardiganmurah;cardiganrajut;cardigankorea;cardigankoreanstyle;knittedcardigan;;;;;;;;;;;;;;FALSE;;;🪼;lovemaybe;TRUE;33900;62;Finally found this baggy and comfy knitted cardigan ala korean style 🥺❤️ #cardigan #cardiganmurah #cardiganrajut #cardigankorea #cardigankoreanstyle #knittedcardigan ;11;1024;https://www.tiktok.com/@racunurminds/video/7275255483991149842
7;2055;1191;5937;pink.store4;pink store ♡;"Hii .. 💌
Support 1K .. 🫶🏻";FALSE;11;11;8;26/03/2024 10.19;84;;cardiganrajut;;cardiganmotif;cardiganmurah;cardiganoutfit;;;;;;;;;;;;;;;;FALSE;;;Ega;ful yutub TutungID fvnky;TRUE;1582;20;Hah? Cardigan 30ribuan 😭🫵🏻‼️ #cardiganrajut #cardiganmotif #cardiganmurah #cardiganoutfit ;27;1024;https://www.tiktok.com/@pink.store4/video/7350506626626915589
7785;1500000;25;41300000;bobrownn;Bo Brown;"Fashion & beauty inspo 🎀
💌 Info@bo-brown.nl
👇🏽 More content?";FALSE;1888;269;14;28/09/2023 00.38;1246;;;;stylinghacks;cardigan;falloutfitideas;falloutfits;;;;;;;;;;;;;;;FALSE;@brooke;;Kenya Grace;Strangers;FALSE;72700;25;Antwoorden op @brooke j - Styling this VIRAL CARDIGAN from Uniqlo 🍂 Which item is next? SAVE THE OUTFIT for later 💕 #stylinghacks #cardigan #falloutfitideas #falloutfits ;17;1024;https://www.tiktok.com/@bobrownn/video/7283561461404699937
617;3334;2727;19600;arini_swift;Arini swift;;FALSE;210;111;4;06/01/2024 19.05;243;;fyp;;fypシ;fashion;cardigan;cardiganrajut;cardiganoutfit;cardiganknit;cardiganstrip;cardiganmurah;cardigancrop;cardigan;cardiganrajutmurah;;;;;;;;FALSE;;;MVC Project;Dj Care Bebek Thailand Style (Remix);FALSE;71800;36;inspirasi outfit with strip cardigan knit, simpel, elegant anti ribet 😍😍 #fyp #fypシ #fashion #cardigan #cardiganrajut #cardiganoutfit #cardiganknit #cardiganstrip #cardiganmurah #cardigancrop #cardigan knitwear putih hitam #cardiganrajutmurah ;12;1024;https://www.tiktok.com/@arini_swift/video/7320955181917605126
1532;8712;255;380900;inndriiii;Indri ᥫ᭡;"Spill link klik disini👇🏻
kalo gabisa cek link di ig ya👇🏻";FALSE;288;6;0;03/05/2024 15.01;12;;cardi;;cardigan;cardiganoutfit;cardiganmurah;;;;;;;;;;;;;;;;FALSE;;;Hartian Juniawan;Kupu Kupu × Panah Asmara;TRUE;2177;6;Bagus banget modelnya😭 #cardi #cardigan #cardiganoutfit #cardiganmurah ;18;1024;https://www.tiktok.com/@inndriiii/video/7364680447470619909
2271;38200;38;289100;by.anbeela;𝐵𝒾𝓁𝒶🧚 | Inspirasi Fashion;"اَللَّهُمَّ صَلِّ عَلٰى سَيِّدِنَا مُحَمَّد 
Tips Affiliate
❌ JANGAN AMBIL VIDEO";FALSE;299;345;17;09/07/2023 20.28;878;;cardiganrajut;;cardiganmurah;cardigankorea;cardigankekinian;cardiganviral;cardigankoreanstyle;cardigankoreamurah;cardigankoreanviral;cardigankoreanaeshtetic;;;;;;;;;;;FALSE;;;화정,Purple Rain;CHU♥;FALSE;255800;285;Cuma 30rb-an🥺 #cardiganrajut #cardiganmurah #cardigankorea #cardigankekinian #cardiganviral #cardigankoreanstyle #cardigankoreamurah #cardigankoreanviral #cardigankoreanaeshtetic ;17;1024;https://www.tiktok.com/@by.anbeela/video/7253810230411136262
11300;189900;6;7100000;annasyamarinasari;annasya Marinasari;"12 Mei 1994
jangan lupa untuk follow ya 👍
Bismillah 🙏";FALSE;1498;589;24;01/06/2023 13.55;1392;;cardigan;;cardiganrajut;cardiganmurah;cardiganoversize;cardiganwanita;outercardigan;sweater;jaket;jaketmurah;fashion;fashiontiktok;styletips;premiumquality;ootd;outfit;oversize;baju;bajumurah;bajuwanita;FALSE;;;Afgan;Panah Asmara;FALSE;367400;468;Rekomendasi Cardigan Rajut Oversize Batwing Wanita. #cardigan #cardiganrajut #cardiganmurah #cardiganoversize #cardiganwanita #outercardigan #sweater #jaket #jaketmurah #fashion #fashiontiktok #styletips #premiumquality #ootd #outfit #oversize #baju #bajumurah #bajuwanita ;14;1024;https://www.tiktok.com/@annasyamarinasari/video/7239607667457559814
3387;2322;92;220200;cellantha;cella *˚:✧｡;"dm ig for business inq ✨
mostly fashion 
○ 149 / 46 ○";FALSE;265;385;5;26/08/2023 15.06;963;;cardigancollection;;cardiganrajut;cardiganoutfit;cardiganmurah;;;;;;;;;;;;;;;;FALSE;;;spedupaudiossss;original sound;TRUE;58300;22;pengen koleksii cardigann lainn lgg 😭🫶🏻 #cardigancollection #cardiganrajut #cardiganoutfit #cardiganmurah ;13;1024;https://www.tiktok.com/@cellantha/video/7271539238443699462
33900;21800;414;62000;itsliyahlala;Liyah Lala;"here for outfit recos! ˚ ༘♡ ⋆｡˚
💌contact.aaliyahbalala@gmail.com";FALSE;420;866;53;08/09/2023 21.18;2589;;fyp;;knittedcardigan;cardigan;cardiganoutfit;neutralaesthetic;neutraloutfitideas;liyahlalaa;sweater;sweaterweather;ttsallstarprogram;;;;;;;;;;FALSE;;;W&K;som original;TRUE;155500;60;309 pesos mo may knitted top & cardigan ka na 🤎 #fyp #knittedcardigan #cardigan #cardiganoutfit #neutralaesthetic  #neutraloutfitideas #liyahlalaa #sweater #sweaterweather #ttsallstarprogram ;24;1024;https://www.tiktok.com/@itsliyahlala/video/7276459360719473925
2778;86100;122;2100000;fleur.raffan;Fleur;"London
Instagram @fleurraffan (309k)
Fleur@e-idols.com
Shop my outfits ⬇️";FALSE;1217;365;11;07/08/2023 02.58;1256;;chicstyle;;elegantoutfits;london;;;;;;;;;;;;;;;;;FALSE;;;Fleur;original sound;TRUE;51500;36;My fave chic cardigans right now. #chicstyle #elegantoutfits #london ;52;1024;https://www.tiktok.com/@fleur.raffan/video/7264301009374170401
124300;103000;163;4000000;tasyaletha;Tasyaletha ✧;"172cm / 50kg
Beli dmn? Klik link di bawah ini👇🏻";FALSE;1432;14;4;19/02/2023 10.22;62;;;;cardigan;koreanoutfit;cardiganmurah;;;;;;;;;;;;;;;;FALSE;@frappuccinolatte;;Donny Fernanda;Sial (Remix);FALSE;2656;3;Replying to @frappuccinolatte link no.283 bnyak pilihn motif dan warnannya #cardigan #koreanoutfit #cardiganmurah ;8;1024;https://www.tiktok.com/@tasyaletha/video/7201702162353736987
9177;154900;95;743800;newshoppeland;Newshoppeland;"📍Bdg
Live Setiap Hari 9 Pagi - 9 Malam WIB
Premium Knitwear Self Manufacture
⬇️";FALSE;1629;155;16;23/01/2023 13.40;990;;fyp;;rajutpremium;ttshoplocal;rajutpmurah;genshinimpact34;cardigan;fypシ;cardiganrajut;ootdinspo;;;;;;;;;;;FALSE;;;Hanna;All the baddies using this sound;TRUE;88500;55;Siapa lagi nih! Yang nunggu produk baru kita Launching!! Kacau sih ini bikin pengen borong semua warna 🥹🥹😭 #fyp #rajutpremium #TTShopLocal #rajutpmurah #GenshinImpact34 #cardigan #fypシ #cardiganrajut #ootdinspo ;22;1024;https://www.tiktok.com/@newshoppeland/video/7191733951461887258
8572;6400;50;464400;rekomendasioutift1;💗;Beauty&fashion;FALSE;707;4;0;09/08/2023 21.08;21;;cardigan;;cardigancrop;clarisa;knit;cardiganmurah;rajut;fyp;cardiganrajut;;;;;;;;;;;;FALSE;;;BRUTAL 🔥;suara asli - BLACK BRUTAL_MANS🌹;TRUE;2751;13;#cardigan #cardigancrop #clarisa #knit #cardiganmurah #rajut #fyp #cardiganrajut ;16;1024;https://www.tiktok.com/@rekomendasioutift1/video/7265324249148116230
6712;8963;144;224400;tiktokfinds66;Sheena🎀;"DO NOT REUPLOAD MY VIDEOS
📩sheenacabatingan25@gmail.com
🧿🧿
Floodlikes=BLOCKED";FALSE;824;288;24;14/09/2023 18.04;1142;;fashion;;cardigan;cardiganoutfit;cardigans;cardiganforwomen;knittedcardigan;cardigansweater;blowthisup?;mostviewed;;;;;;;;;;;FALSE;;;Osama🦁Aslan;Rihanna Egyptian remix;TRUE;51400;134;So cute😍 #fashion #cardigan #cardiganoutfit #cardigans #cardiganforwomen #knittedcardigan #cardigansweater #blowthisup? #mostviewed ;9;1024;https://www.tiktok.com/@tiktokfinds66/video/7278635806217014533
42;3263;50;4893;cardiganku_murah;cardigan murah;"PAKET USAHA
1Kg PILIH 3 BISA RIQUST
📱085869209742
📍Boyolali jawa tengah";FALSE;7;0;0;17/01/2023 23.08;1;;cardiganmurah;;cardiganrajut;cardiganoversize;;;;;;;;;;;;;;;;;FALSE;;;haluallday;Heyek Crew Suwung;TRUE;193;0;#cardiganmurah #cardiganrajut #cardiganoversize ;11;1024;https://www.tiktok.com/@cardiganku_murah/video/7189653616414788890
9177;154900;95;743800;newshoppeland;Newshoppeland;"📍Bdg
Live Setiap Hari 9 Pagi - 9 Malam WIB
Premium Knitwear Self Manufacture
⬇️";FALSE;1629;303;7;01/02/2023 09.12;888;cute freckles with lashes;fyp;;ttshoplocal;racuntiktok;cardiganpremium;cardiganaesthetic;rajutmurah;racunintiktok;cardigan;cardiganoversize;;;;;;;;;;;FALSE;;;Speedy_SNGXS;original sound;TRUE;62400;47;Bosen sama warnanya? tinggal balikin aja bestieee 🔥🥹✨ #fyp #TTShopLocal #racuntiktok #cardiganpremium #cardiganaesthetic #rajutmurah #racunintiktok #cardigan #cardiganoversize;7;1134;https://www.tiktok.com/@newshoppeland/video/7195004561973710107
3878;3566;3261;198000;zartashaas;Zartasha🩷;"°•°
°~🎀🍐🍊🤎🍹🫐 ~°
 ^~^
 link belanja shopee";FALSE;1303;26;0;08/12/2022 17.11;40;;ootd;What's your #OOTD?;cardiganmurah;stylingoutfits;spilljualanonline;ootdhijab;;;;;;;;;;;;;;;FALSE;;;senia;thinking out loud;TRUE;3210;3;cardigan ala cewek kue nihh🤩 #ootd #cardiganmurah #stylingoutfits #spilljualanonline #ootdhijab ;9;1024;https://www.tiktok.com/@zartashaas/video/7174718273290915099
1070;65900;151;1100000;leastoreofficial;leastoreofficial;"PRODUK SEMUA WAJIB PUNYA‼️
✨10.00 , 15.00   & 19.00 ✨";FALSE;183;13400;317;16/11/2022 11.24;98100;;sourcesofficial;;shopeehaul;shopeefeed;shopeehaulmurah;racunshopeecheck;racuntiktokcheck;racuntiktokshopee;racuntiktokshop;racuntiktokshopping;racuntiktokshopmurah;ootdhijab;ootdshare;ootdstyle;outfit50k;cardiganmurah;;;;;TRUE;;;Kuya Magik 🪄;Kickin Back x Ex Party;TRUE;6600000;3003;Our New Cardigan! ✨  Cardigan viral yang wajib ciwi ciwi punya nih. Details rantai-nya bikin outfit kamu keliatan lebih mewah 😩🌟 Dan satu lagi harganya cuman 48rb ajaa 🥹✋🏻  Checkout only keranjang kuning!  #sourcesofficial #shopeehaul #shopeefeed #shopeehaulmurah #racunshopeecheck #racuntiktokcheck #racuntiktokshopee #racuntiktokshop #racuntiktokshopping #racuntiktokshopmurah  #ootdhijab #ootdshare #ootdstyle #outfit50k #cardiganmurah ;9;1024;https://www.tiktok.com/@leastoreofficial/video/7166465038994132250
